Detailed Parameter,Grouped Parameter,Specific Metric,Nutrient,Reference,Experiment Type,Environment,General Taxon/Grouping,Species,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of Temperature Dependence,Activation Energy,Error,Error Metric,Model Used,Single species or multiple?,Where to find in paper,Evidence that temp dependence differs between species,Notes,More Notes,Their Data or Dataset?
growth rate (µ: specific growth rate),growth rate,specific growth rate,NA,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,Algae,Scenedesmus obliquus,25,15,10,3,Yes,No,0,0.08,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
growth rate (µ: specific growth rate),growth rate,specific growth rate,NA,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,Algae,Raphidocelis subcapitata,25,15,10,3,Yes,Yes,0.9,0.19,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
"growth rate (µ: they don't call it specific growth rate, but that's what it seems to be)",growth rate,,NA,Kremer et al. (2017). Temperature- and size-scaling of phytoplankton population growth rates: Reconciling the Eppley curve and the metabolic theory of ecology. Limnology and Oceanography: 62(4): 1658-1670,Lab,Mixed: Freshwater/Marine,Phytoplankton,Phytoplankton,NA,NA,NA,NA,NA,Yes,0.3,0.068,95% CI,Arrhenius,multiple species,"**Dataset overlap: uses Thomas et al. (2012)
From page 1663 text and Table 2
E=0.30","Page 1664 text states that no significant interaction was found between E and functional group, suggesting that the activation energy is consistent across species",,,"dataset:
Makes use of a previously compiled dataset:
Thomas et al. (2012)."
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Unsure,Marine,Phytoplankton,micro-phytoplankton,"ambient+3 (summer)

ambient+5 (other seasons)","ambient-7 (summer)

ambient-5 (other seasons)",10,5,No,Yes,0.52,0.19,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.52",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Unsure,Marine,Phytoplankton,nano-phytoplankton,"ambient+3 (summer)

ambient+5 (other seasons)","ambient-7 (summer)

ambient-5 (other seasons)",10,5,No,Yes,0.43,0.14,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.43",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Unsure,Marine,Phytoplankton,pico-phytoplankton,"ambient+3 (summer)

ambient+5 (other seasons)","ambient-7 (summer)

ambient-5 (other seasons)",10,5,No,Yes,0.31,0.15,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.31",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Unsure,Marine,Phytoplankton,Synechococcus,"ambient+3 (summer)

ambient+5 (other seasons)","ambient-7 (summer)

ambient-5 (other seasons)",10,5,No,Yes,0.58,0.22,95% CI,Arrhenius,single species (maybe),"From Table 1 (EO station)
E=0.58",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Unsure,Marine,Phytoplankton,Picoeukaryotes,"ambient+3 (summer)

ambient+5 (other seasons)","ambient-7 (summer)

ambient-5 (other seasons)",10,5,No,Yes,0.38,0.09,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.38",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Unsure,Marine,Phytoplankton,micro-phytoplankton,"ambient+3 (summer)

ambient+5 (other seasons)","ambient-7 (summer)

ambient-5 (other seasons)",10,5,No,Yes,0.34,0.09,95% CI,Arrhenius,multiple species,"From Table 1 (WE station)
E=0.34",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Unsure,Marine,Phytoplankton,nano-phytoplankton,"ambient+3 (summer)

ambient+5 (other seasons)","ambient-7 (summer)

ambient-5 (other seasons)",10,5,No,Yes,0.63,0.22,95% CI,Arrhenius,multiple species,"From Table 1 (WE station)
E=0.63",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
