Detailed Parameter,Simple Parameter,Specific Metric,Reference,General Taxon/Grouping,Heterotroph or Autotroph,Species,Resource General,Resource Species,Temp Range,Number of Temps Measured,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
K: resource carrying capacity,resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussman et al. (2014). See full reference above",Bacteria,heterotroph,Pseudomonas sp. strain #69,,,0-30,6,Yes,-0.29,0.25,SE,Arrhenius,single species,From Supplementary Table 4 in Fussman et al. (2014),,"measurements at 10°C were terminated before the end of stationary phase, so the maximum counts at this temp could be underestimates","the two Pseudomonas strains may be switched, Fussman et al. call them 1 and 2, rather than the numbers used here and in the original publication","their data, part of Fussman et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Zanoni et al. (1993). Modeling the growth of Enterococcus faecium in
bologna sausage. Applied and Environmental Microbiology: 59(10): 3411-3417
Activation energy calculated in: Fussman et al. (2014). See full reference above",Bacteria,heterotroph,Enterococcus faecium,,,6-50,10,Yes,-0.9,0.34,SE,Arrhenius,single species,From Supplementary Table 4 in Fussman et al. (2014),,,,"their data, part of Fussman et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Zwietering et al. (1991). Modeling of bacterial growth as a function of temperature. Applied and Environmental Microbiology: 57(4): 1094-1101
Activation energy calculated in: Fussman et al. (2014). See full reference above",Bacteria,heterotroph,Lactobacillus plantarum,,,21.5-40,9,Yes,-0.67,0.15,SE,Arrhenius,single species,From Supplementary Table 4 in Fussman et al. (2014),,I'm not sure exactly where they found the data in the original paper. Maybe they contacted the authors?,,"their data, part of Fussman et al. (2014) dataset"
m: consumer mortality rate,mortality rate,mortality rate,McCoy & Gillooly (2008). Predicting natural mortality rates of plants and animals. Ecology Letters: 11: 710-716,Invertebrates,heterotroph,Invertebrates,,,,,Yes,0.47,0.29,95% CI,Arrhenius,multiple species,"**Dataset overlap: uses Pauly (1980)
From Corrigendum (see notes) Table 1
E=0.47 (invertebrates)
(given as -0.47)",,"A corrigendum was published in 2009 to correct for some misreported data, which altered the estimations of E for fish and invertebrates.",,"dataset:
Built upon the dataset from Pauly (1980)"
m: consumer mortality rate,mortality rate,mortality rate,Bevacqua et al. (2011). Intra-specific scaling of natural mortality in fish: the paradigmatic case of the European eel. Oecologia: 165(2): 333-339,Fish: Eel,heterotroph,Anguilla anguilla,,,8-18 (mean annual temps from multiple studies),7,Yes,1.22,0.5,90% CI,Arrhenius,single species,"From page 337 text
E=1.2
(1.22- males, 1.24- females (p.336))",,This activation energy is for males,,dataset
m: consumer mortality rate,mortality rate,mortality rate,Bevacqua et al. (2011). Intra-specific scaling of natural mortality in fish: the paradigmatic case of the European eel. Oecologia: 165(2): 333-339,Fish: Eel,heterotroph,Anguilla anguilla,,,8-18 (mean annual temps from multiple studies),6,Yes,1.24,0.44,90% CI,Arrhenius,single species,"From page 337 text
E=1.2
(1.22- males, 1.24- females (p.336))",,This activation energy is for females,,dataset
m: consumer mortality rate,mortality rate,longevity,"Benider et al. (2002). Growth of Moina macrocopa (Straus 1820) (Crustacea, Cladocera): influence of trophic conditions, population density and temperature. Hydrobiologia: 468(1):1-11
Activation energy calculated in: Dell et al. (2011) See full reference above",Cladocera,heterotroph,Moina macrocopa (adult),Algae,Chlorella sorokiniana,15-30,5,Yes,0.43,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"It appears that mortality was either calculated as 1/longevity for each temp, or an arrhenius model was used to determine E of longevity and the sign (+/-) was switched. The methods are equivalent.",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Crayfish,heterotroph,Procambarus clarkii (adult),,,15-30,6,Yes,0.68,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"The crayfish in this experiment had their eyestalks removed and many died during molting, so these factors could affect the measured mortality rates",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Crayfish,heterotroph,Procambarus clarkii (juvenile),,,15-30,6,Yes,0.66,,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"The crayfish in this experiment had their eyestalks removed and many died during molting, so these factors could affect the measured mortality rates",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,mortality rate,Valderrama & Fields. (2017). Flawed evidence supporting the Metabolic Theory of Ecology may undermine goals of ecosystem-based fishery management: the case of invasive Indo-Pacific lionfish in the western Atlantic. ICES Journal of Marine Science: 74(5): 1256-1267,Fish,heterotroph,Fish,,,,,Yes,0.39,0.08,95% CI,Arrhenius,multiple species,"**Dataset overlap: uses Pault (1980)
From Fig.1a",,They recalculated E from the Pauly (1980) dataset because previous studies using the dataset had failed to account for the alterred temperatures for polar fishes,,"dataset:
Compiled by Pauly (1980)"
c: consumption rate (attack rate),consumption rate,attack rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Petchey et al. (2010). Predicting the effects of temperature on food web connectance. Philosophical Transactions of the Royal Society B- Biological Sciences: 365(1549): 2081-2091",Damselfly,heterotroph,Ischnura elegans,,Daphnia magna,5-30,6,Yes,0.509,,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1e
E=0.509",,"Plots of # prey eaten/prey density are available in the original paper (Fig. 6), showing the response across a range of temperatures.","Fig.1 in Petchey et al. shows log (base 10) transformed attack rate vs. temp in Celsius, but it is noted that the activation energy is calculated from a typically linearized Arrhenius function","their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Petchey et al. (2010). See full reference above",Mite,heterotroph,Amblyseius longispinosus,Mite,Aponychus corpuzae,15-30,5,"Maybe, maybe not: Zhang et al. found a linear trend, but Petchey et al. determined that the activation energy was not significant",0.152,,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1f
E=0.152 (but see notes)",,The activation energy was not found to be significantly different from 0,Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China
Activation energy calculated by: Petchey et al. (2010). See full reference above",Mite,heterotroph,Amblyseius longispinosus,Mite,Schizotetranychus nanjingensis,15-35,6,Yes,0.432,,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1g
E=0.432",,,,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Petchey et al. (2010). See full reference above",Ladybug,heterotroph,Coccinella septempunctata,Aphid,Aphis gossypii,5-30,6,Yes,0.572,,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1h
E=0.572",,"Petchey et al. state that they have corrected the data for variation in predator and prey size, but this process is not described or made clear.",,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Brown et al. (2004). Toward a metabolic theory of ecology. Ecology: 85(7): 1771-1789",Midge,heterotroph,Chaoborus americanus (juvenile),Cladocera,Daphnia pulex,10-20,3,Yes,0.56,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.56",,Spitze (1985) Fig. 8 shows attack rate vs temperature,,"their data, used in Brown et al. (2004)"
c: consumption rate (attack rate),consumption rate,attack rate,"Eggleston (1990). Behavioural mechanisms underlying variable functional responses of blue crabs, Callinectes sapidus feeding on juvenile oysters, Crassostrea virginica. Journal of Animal Ecology: 59(2): 615-630
Activation energy calculated by: Brown et al. (2004). See full reference above",Crab,heterotroph,Callinectes sapidus,Oyster,Crassostrea virginica,13-27,3,Yes,0.8,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.80",,,,"their data, used in Brown et al. (2004)"
