Detailed Parameter,Grouped Parameter,Specific Metric,Nutrient,Reference,General Taxon/Grouping,Species,Temp Range,Number of Temps Measured,Evidence of Temperature Dependence,Activation Energy,Error,Error Metric,Model Used,Single species or multiple?,Where to find in paper,Evidence that temp dependence differs between species,Notes,More Notes,Their Data or Dataset?
growth rate (µ: specific growth rate),growth rate,specific growth rate,NA,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Algae,Scenedesmus obliquus,15-25,3,No,0,0.08,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
growth rate (µ: specific growth rate),growth rate,specific growth rate,NA,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Algae,Raphidocelis subcapitata,15-25,3,Yes,0.9,0.19,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
"growth rate (µ: they don't call it specific growth rate, but that's what it seems to be)",growth rate,,NA,Kremer et al. (2017). Temperature- and size-scaling of phytoplankton population growth rates: Reconciling the Eppley curve and the metabolic theory of ecology. Limnology and Oceanography: 62(4): 1658-1670,Phytoplankton,Phytoplankton,,,Yes,0.3,0.068,95% CI,Arrhenius,multiple species,"**Dataset overlap: uses Thomas et al. (2012)
From page 1663 text and Table 2
E=0.30","Page 1664 text states that no significant interaction was found between E and functional group, suggesting that the activation energy is consistent across species",,,"dataset:
Makes use of a previously compiled dataset:
Thomas et al. (2012)."
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,micro-phytoplankton,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.52,0.19,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.52",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,nano-phytoplankton,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.43,0.14,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.43",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,pico-phytoplankton,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.31,0.15,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.31",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Synechococcus,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.58,0.22,95% CI,Arrhenius,single species (maybe),"From Table 1 (EO station)
E=0.58",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Picoeukaryotes,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.38,0.09,95% CI,Arrhenius,multiple species,"From Table 1 (EO station)
E=0.38",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,micro-phytoplankton,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.34,0.09,95% CI,Arrhenius,multiple species,"From Table 1 (WE station)
E=0.34",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,nano-phytoplankton,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.63,0.22,95% CI,Arrhenius,multiple species,"From Table 1 (WE station)
E=0.63",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,pico-phytoplankton,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.43,0.18,95% CI,Arrhenius,multiple species,"From Table 1 (WE station)
E=0.43",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Synechococcus,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.54,0.13,95% CI,Arrhenius,single species (maybe),"From Table 1 (WE station)
E=0.54",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,,NA,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Picoeukaryotes,"ambient-7 to ambient+3 (summer)

ambient-5 to ambient+5 (other seasons)",5,Yes,0.48,0.13,95% CI,Arrhenius,multiple species,"From Table 1 (WE station)
E=0.48",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen et al. (2012). Does warming enhance the effect of microzooplankton grazing on marine phytoplankton in the ocean? Limnology and Oceanography: 57(2): 519-526,Phytoplankton,Phytoplankton,,,Yes,0.36,0.05,95% CI,Arrhenius,multiple species,"From page 522
E=0.36 (see notes)",,"There's a lot of fairly technical language in this paper that I'm not familiar with. As such, I'm not totally confident that I understand the process by which they arrived at this value of E.",,"dataset:
Builds upon a dataset from:
Calbet and Landry (2004)"
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Synechococcus (measured by flow cytometry),ambient-4 to ambient+5,5,Yes,0.71,0.11,SE,Arrhenius,single species (maybe),"From Table 2
E=0.71",,"They only ever give the genus name, so this could potentially be multiple species of Synechococcus",,their data
growth rate (nutrient-enriched growth rate),growth rate,nutrient-enriched growth rate,NA,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Synechococcus (measured by high-performance liquid chromatography),ambient-4 to ambient+5,5,Yes,0.46,0.08,SE,Arrhenius,single species (maybe),"From Table 2
E=0.46",,"They only ever give the genus name, so this could potentially be multiple species of Synechococcus",,their data
