References,ID,Species,Latitude (°N),Longitude (°E),Optimal growth temperature (ºC),Cell volume (?m3),Activation energy (eV),Standard error of activation energy
Thompson et al. (1992),244,Phaeodactylum tricornutum,NA,NA,NA,128,0.43,0.07
Ryther (1954),245,Picochlorum atomus,40.7,-73.1,20,8.2,1.22,0.53
Dermoun & Chaumont (1992),246,Porphyridium cruentum,NA,NA,20,144,1.22,0.48
Boyd et al. (2013),247,Proboscia inermis,-60,145,5,99631,0.38,0.03
Johnson et al. (2006),248,Prochlorococcus marinus eMED4,43.2,6.9,24,0.16,0.75,0.12
Johnson et al. (2006),249,Prochlorococcus marinus strain MIT9215 (clade 1),0,-140,25,0.16,1.07,0.07
Johnson et al. (2006),250,Prochlorococcus marinus strain MIT9312 (clade 1),37.5,-68.2,25,0.16,0.81,0.07
Kulk et al. (2012),251,Prochlorococcus marinus,NA,NA,NA,0.230333333,0.93,0.02
Zinser et al. (2007),252,Prochlorococcus marinus strain NATL2A,39,-49.3,24,0.16,0.69,0.07
Zinser et al. (2007),253,Prochlorococcus marinus strain MIT9313,37.5,-68.2,28,0.16,0.57,0.06
Moore et al. (1995),254,Prochlorococcus marinus MED4,43.2,6.9,24,0.16,1.07,0.13
Moore et al. (1995),255,Prochlorococcus marinus SS120,29,-64.4,24,0.16,1.02,0.24
Kulk et al. (2012),256,Prochlorococcus sp.,NA,NA,NA,0.327,1.18,NA
Morton et al. (1992),257,Prorocentrum concavum,24.7,-81.1,27,68700,1.66,0.2
Xu et al. (2010),258,Prorocentrum dentatum,NA,NA,NA,806,0.85,0.14
Boyd et al. (2013),259,Prorocentrum donghaiense,21.4,-157.8,20,806,1.31,NA
Barker (1935),260,Prorocentrum gracile,36.6,-121.9,18,2360,1.41,0.06
Morton et al. (1992),261,Prorocentrum lima,24.7,-81.1,27,23600,1.97,0.38
Morton et al. (1992),262,Prorocentrum mexicanum,24.7,-81.1,27,7137,2.34,0.38
Barker (1935),263,Prorocentrum micans,36.6,-121.9,NA,16300,0.75,0.09
Grzebyk & Berland (1996),264,Prorocentrum minimum,43.3,5.3,26.5,2070,0.4,0.06
Lomas & Glibert (1999),265,Prorocentrum minimum,NA,NA,NA,1770,0.58,0.02
Larsen & Bryant (1998),266,Prymnesium parvum,NA,NA,NA,592,1.32,0.19
Larsen & Bryant (1998),267,Prymnesium parvum,NA,NA,NA,592,0.68,0.01
Larsen & Bryant (1998),268,Prymnesium patelliferum,NA,NA,NA,592,0.84,0.34
Larsen & Bryant (1998),269,Prymnesium patelliferum,NA,NA,NA,592,0.41,0.16
Larsen & Bryant (1998),270,Prymnesium parvum f. patelliferum strain RHpat93,59.5,6.2,15,592,0.65,0.14
El-Sabaawi & Harrison (2006),271,Pseudo-nitzschia granii,45,-145,14,425,0.41,0.14
Lewis et al. (1993),272,Pseudo-nitzschia multiseries,45.6,-61.8,20,1650,0.45,0.04
Fiala & Oriol (1990),273,Pseudo-nitzschia turgiduloides,-58,62,3,282,1.48,0.16
Lundholm et al. (1997),274,Pseudonitzschia pseudodelicatissima,NA,NA,NA,298,0.9,0.14
Stapleford & Smith (1996),275,Pseudonitzschia seriata,71.7,-95.8,6,1110,0.33,0.09
Throndsen (1976),276,Pseudopedinella pyriformis,59.5,10.5,11,80,0.76,NA
Throndsen (1976),277,Pyramimonas disomata,59.5,10.5,NA,47.7,NA,NA
Usup et al. (1994),278,Pyrodinium bahamense var. compressum ,6,116.1,28.5,21700,0.49,0.04
Baars (1981),279,Rhizosolenia alata f. indica,51.4,3.6,20,28866.66667,1.49,NA
Baars (1981),279,Rhizosolenia alata f. indica,52.4,4.6,20,28866.66667,1.49,NA
Baars (1981),279,Rhizosolenia alata f. indica,53.4,5.6,20,28866.66667,1.49,NA
Ignatiades & Smayda (1970),280,Rhizosolenia fragilissimus,41.5,-71.4,18,13100,0.47,0.05
Baars (1981),281,Rhizosolenia robusta,51.4,3.6,20,1200000,0.65,0.12
Baars (1981),282,Rhizosolenia setigera,51.4,3.6,12,831.8,0.83,0.21
Hulburt (1982),283,Rhizosolenia setigera,6,-54,27,755,0.7,0.21
Baars (1981),284,Rhizosolenia stolterfothii,51.4,3.6,NA,28333.33333,NA,NA
Montagnes & Franklin (2001),285,Rhodomonas salina,NA,NA,16,307.2,0.63,0.08
Binder & Anderson (1987),292,Scrippsiella trochoidea strain ScrpMxB,41.6,-70.6,16.5,8470,0.33,0.04
Kaeriyama et al. (2011),294,Skeletonema ardens strain FDK003,33.9,130.8,NA,167,0.39,0.07
Kaeriyama et al. (2011),295,Skeletonema ardens strain FDK004,33.9,130.8,NA,167,0.45,0.2
Kaeriyama et al. (2011),296,Skeletonema ardens strain FDK005,33.9,130.8,NA,167,0.55,0.19
Kaeriyama et al. (2011),297,Skeletonema ardens strain FDK006,33.9,130.8,NA,167,0.37,0.06
Kaeriyama et al. (2011),298,Skeletonema ardens strain FDK007,33.9,130.8,NA,167,0.38,0.06
Baars (1981),299,Skeletonema costatum,51.4,3.6,12,258,0.69,NA
Chin et al. (1965),300,Skeletonema costatum,24.5,118.1,25,258,0.82,0.31
Curl & McLeod (1961),301,Skeletonema costatum,41.5,-70.7,15,258,1.2,0.08
Falkowski (1977),302,Skeletonema costatum clone SK6C,41.6,-71.3,24,258,0.79,0.26
Gao et al. (2000),303,Skeletonema costatum,NA,NA,NA,247,0.67,0.11
Hulburt (1982),304,Skeletonema costatum clone FHS 3,48.5,-123,NA,258,0.4,0.07
Jorgensen (1968),305,Skeletonema costatum,NA,NA,NA,183.5,0.42,0.11
Kaeriyama et al. (2011),306,Skeletonema costatum s.s. strain FDK009,33.9,130.8,25,258,0.62,0.17
Langdon (1987),307,Skeletonema costatum,NA,NA,NA,161,0.5,0.07
Montagnes and Franklin (2001),308,Skeletonema costatum,NA,NA,20.1,202.6,0.4,0.11
Suzuki & Takahashi (1995),309,Skeletonema costatum,35.5,140,25,376,0.64,0.15
Yoder (1979),310,Skeletonema costatum,NA,NA,NA,441.2,0.68,0.08
Kaeriyama et al. (2011),311,Skeletonema japonicum,33.9,130.8,20,327,0.43,0.25
Kaeriyama et al. (2011),312,Skeletonema japonicum,33.9,130.8,NA,327,0.27,0.06
