Detailed Parameter,Simple Parameter,Specific Metric,Reference,General Taxon/Grouping,Heterotroph or Autotroph,Species,Life Stage,Resource General,Resource Species,Resource life stage,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,,,4-20,5,Somewhat,Yes,0.16,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,,,4-20,5,Somewhat,Yes,0.4,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Harpalus rufipes,adult,Aphid,Sitobion avenae,juvenile,,,12.3-23.6,4,Somewhat,Yes,0.89,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Macrocheles muscaedomesticae,adult,House fly,Musca domestica,juvenile,,,15-33,4,Somewhat,Yes,0.85,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,,,5-25,4,Somewhat,Yes,0.52,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,,,5-25,4,Somewhat,Yes,0.53,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,,,5-25,4,Somewhat,Yes,0.57,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,,,5-25,4,Somewhat,Yes,0.58,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,,,5-25,4,Somewhat,Yes,0.6,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,,,5-25,5,No,Yes,0.76,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,,,5-25,5,No,Yes,1.1,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aquatic insect,heterotroph,Notonecta hoffmani,adult,Mosquito,Culex pipiens,juvenile,,,10-25,4,Somewhat,Yes,1.1,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Sea snail,heterotroph,Nucella lapillus,adult,Mussel,Mytilus edulis,adult,,,3-25,8,No,Yes,0.91,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,True bug,heterotroph,Orius insidiosus,adult,Mite,Panonychus ulmi,adult,,,18.3-35,4,Somewhat,Yes,0.72,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,,,4-20,5,Somewhat,Yes,0.8,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,,,4-20,5,No,Yes,0.99,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Somewhat,Yes,0.46,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Somewhat,Yes,0.53,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Yes,Yes,0.36,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. calculated E from maximum rates, not at each prey density",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Somewhat,Yes,0.77,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Somewhat,Yes,0.86,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Somewhat,Yes,0.86,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Somewhat,Yes,0.92,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Somewhat,Yes,0.93,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,,,12-21,4,Yes,Yes,0.7,0.21,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. calculated E from maximum rates, not at each prey density",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,,,15-30,4,Somewhat,Yes,0.46,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,,,15-30,4,Somewhat,Yes,0.63,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,,,15-30,4,Somewhat,Yes,0.65,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,,,15-30,4,Somewhat,Yes,0.74,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,,,15-30,4,Somewhat,Yes,0.85,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Sea snail,heterotroph,Polinices duplicatus,adult,Clam,Mya arenaria,adult,,,9.5-23,4,Somewhat,Yes,1.14,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus regnans,adult,,,11.5-24,4,No,Yes,0.74,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus viminalis,adult,,,11.5-24,4,No,Yes,0.65,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Pinus radiata,adult,,,9-26,5,No,Yes,0.77,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,,,15-30,4,Somewhat,Yes,0.51,,,Arrhenius,single species,From Table S3,,"Dell et al. report that the prey are adults, but I could not find this mentioned in the original paper",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,,,15-30,4,Somewhat,Yes,0.56,,,Arrhenius,single species,From Table S3,,"Dell et al. report that the prey are adults, but I could not find this mentioned in the original paper",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Aquatic insect,heterotroph,Ranatra dispar,adult,adult,Anisops deanei,unsure,,,15-30,4,Yes,Yes,0.56,0.33,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,,,21-32.5,5,No,Yes,0.53,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,,,21-32.5,5,No,Yes,0.58,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,,,21-32.5,5,No,Yes,0.61,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,,,21-32.5,5,No,Yes,0.93,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Sea snail,heterotroph,Urosalpinx cinerea,adult,Oyster,Crassostrea virginica,juvenile,,,8.3-30,5,No,Yes,1.18,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,maximum ingestion rate,"Durbin & Durbin (1992).  Effects of temperature and food abundance on grazing and short-term weight change in the marine copepod Acartia hudsonica. Limnology and Oceanography: 37(2): 361-378
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Copepod,heterotroph,Acartia hudsonica,,Diatom,Thalassiosira constricta,,,,4.5-16,4,Yes,Yes,0.52,0.2,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,The measurements at 4.5° are actually means of measurements at 4° and 5°,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Mite,heterotroph,Neoseiulus californicus,,Mite,Tetranychus urticae,eggs,,,20-30,3,Yes,Yes,0.41,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"The consumer species is listed as Amblyseius californicus, which is synonomous with Neoseiulus californicus. I've changed it to simplify species counting",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Thrips,heterotroph,Scolothrips takahashii,,Mite,Tetranychus urticae,eggs,,,20-30,3,Yes,Yes,0.65,0,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"The standard error is reported as 0, which seems unlikely?",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Stethorus japonicus,,Mite,Tetranychus urticae,eggs,,,20-30,3,Yes,Yes,0.94,0.17,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Beetle,heterotroph,Calathus fuscipes,,Beetle,Alphitobius diaperinus,juvenile,,,5-20? 15-30? 10-25?,4,Somewhat,Yes,0.27,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. (2014) says there are 4 temp treatments and a 15° range of temps. The range measured was 5-30, with 6 levels, so either the lowest or highest 2 temperatures (or one at each end) have been removed",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Beetle,heterotroph,Calathus fuscipes,,Fruit fly,Drosophila hydei,,,,5-30,6,Yes,Yes,0.2,0.12,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Beetle,heterotroph,Harpalus rufipes,,Beetle,Alphitobius diaperinus,juvenile,,,5-30,6,Yes,Yes,0.33,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Beetle,heterotroph,Harpalus rufipes,,Fruit fly,Drosophila hydei,,,,5-30,6,Yes,Yes,0.38,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Beetle,heterotroph,Pterostichus melanarius,,Beetle,Alphitobius diaperinus,juvenile,,,5-30,6,Yes,Yes,0.3,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Beetle,heterotroph,Pterostichus melanarius,,Fruit fly,Drosophila hydei,,,,5-30,6,Yes,Yes,0.14,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum attack rate?,"Gilioli et al. (2005). Temperature influences on functional response of Coenosia attenuata (Diptera : Muscidae) individuals. Journal of Economic Entomology: 98(5): 1524-1530
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Fly,heterotroph,Coenosia attenuata,,Fruit fly,Drosophila melanogaster,,,,18-36,4,Yes,Yes,0.82,0.3,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,This paper reports the number of prey attacked (killed) in 12 hour trials. I believe this is probably what Fussmann et al. are using for feeding rate,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Sentis et al. (2012). Using functional response modeling to investigate the effect of temperature on predator feeding rate and energetic efficiency. Oecologia: 169(4): 1117-1125
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Coleomegilla maculata,juvenile,Aphid,Myzus persicae,,,,13.9-32.8,6,Yes,Yes,0.68,0.1,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,prey killed per unit time,"Işikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Cycloneda sanguinea,adult,Aphid,Aphis gossypii,unsure,,,20-30,3,Yes,Yes,0.91,0.33,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,prey killed per unit time,"Işikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Ladybug,heterotroph,Scymnus levaillanti,adult,Aphid,Aphis gossypii,unsure,,,20-30,3,Yes,Yes,1.84,0.25,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Ahn et al. (2010). Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves. Journal of Applied Entomology: 134(2): 98-104
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Mite,heterotroph,Neoseiulus californicus,adult,Mite,Tetranychus urticae,egg,,,15-30? 20-35?,4,Somewhat,Yes,0.38,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butle & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,,,10-22,4,Yes,Yes,0.63,0.17,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butle & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,,,10-22,4,Yes,Yes,0.53,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Butle & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Water mite,heterotroph,Piona exigua,adult,Cladocera,Daphnia carinata,unsure,,,10-22,4,Yes,Yes,1.21,0.4,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Stink bug,heterotroph,Podisus maculiventris,adult,Lepidoptera,Spodoptera exigua,juvenile,,,18-27,9,Yes,Yes,0.24,0.01,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Stink bug,heterotroph,Podisus nigrispinus,adult,Lepidoptera,Spodoptera exigua,juvenile,,,18-27,9,Yes,Yes,0.75,0.44,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Li et al. (2007). Functional response of the predator Scolothrips takahashii to hawthorn spider mite, Tetranychus viennensis: effect of age and temperature BioControl: 52(1): 41-61
Activation energy calculated in: Fussman et al. (2014). See full reference above",Thrips,heterotroph,Scolothrips takahashii,adult,Mite,Tetranychus viennensis,eggs,,,20-35,4,Yes,Yes,0.52,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I believe that one of these is for male predators and one is for females, but it is not specified which is which",,"their data, part of Fussmann et al. (2014) dataset"
