Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Activation.energy,Error,Error.Metric,Model.Used,Where.to.find.in.paper
resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,0.95,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,0.75,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,0.98,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,0.87,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Tetraneura nigriabdominalis,,,,,30,10,20,5,0.87,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource growth rate,,"Weisse et al. (2002). Interactive effect of temperature and food concentration on growth rate: A test case using the small freshwater ciliate Urotricha farcta.Limnology and Oceanography: 47(5): 1447-1455
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Cilliate,heterotroph,Urotricha farcta,,,,,24,9,15,6,0.6,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
resource carrying capacity,carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Lab,Marine,,,Phytoplankton,autotroph,Tetraselmis tetrahele,,,,,25,5,20,4,-0.34,0.03,95% CI,Arrhenius,"From Table 1
E=-0.34 (accounting for size change with temp)"
resource carrying capacity,carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Lab,Marine,,,Phytoplankton,autotroph,Tetraselmis tetrahele,,,,,25,5,20,4,-0.22,0.04,95% CI,Arrhenius,"From Table 1
E=-0.22 (without accounting for size change with temp)"
resource carrying capacity,maximum population density,"Alto & Juliano (2001). Temperature effects on the dynamics of Aedes albopictus (Diptera: Culicidae) populations in the laboratory. Journal of Medical Entomology: 38(4): 548-556
Activation energy calculated in: Fussmann et al. (2014). Ecological stability in response to warming. Nature Climate Change: 4(3): 206-210",Lab,Mixed: Freshwater/Terrestrial,Invertebrates,Insects,Mosquito,heterotroph,Aedes albopictus,adult,,,,24,22,2,3,-1.38,0.36,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,...Milk?,Bacteria,Bacteria,Bacteria,heterotroph,Aerobacter aerogenes,,,,,35,0,35,7,-0.71,0.18,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
