intercept,sigma2,parameter
0.5254086970066103,0.010956535661045977,mortality_rate
0.5104290409276229,0.024394577604040728,mortality_rate
0.4666902174323306,0.019762795522368582,mortality_rate
0.545820752301935,0.017855730994085443,mortality_rate
0.5145134622909253,0.03379154592373141,mortality_rate
0.5642593766708834,0.02548284616124184,mortality_rate
0.4721820129875406,0.026200429318447148,mortality_rate
0.43434221018146807,0.021218204964807637,mortality_rate
0.5474331827155746,0.021597634378500437,mortality_rate
0.5061753659395183,0.04396135265280705,mortality_rate
0.5438792824954891,0.01658872441761671,mortality_rate
0.4319826069414051,0.03337688991456893,mortality_rate
0.42379624921256526,0.019091695212923636,mortality_rate
0.4513979816091524,0.03063226223271918,mortality_rate
0.5127502250282427,0.039335185754140384,mortality_rate
0.4861178308140604,0.028653810158455553,mortality_rate
0.45423341044098325,0.01976358316446526,mortality_rate
0.5781692567539973,0.035599959953348165,mortality_rate
0.45956981001047814,0.05532245292098471,mortality_rate
0.5309951315239535,0.020333964856168438,mortality_rate
0.49888994410084486,0.04662321602244112,mortality_rate
0.4755498391177415,0.06009972852092348,mortality_rate
0.5373616380172399,0.021051401833429836,mortality_rate
0.449406729999755,0.02944505014456942,mortality_rate
0.42634505725238,0.11960383241555554,mortality_rate
0.4883210676961935,0.030756399255894844,mortality_rate
0.5088503126918912,0.036515748584321106,mortality_rate
0.4232197728093328,0.0409251909943593,mortality_rate
0.41872858643800376,0.030320157961758187,mortality_rate
0.4444133339738417,0.04696745092449508,mortality_rate
0.4656748881757941,0.02270545854419869,mortality_rate
0.48763131296934537,0.021608064139473943,mortality_rate
0.5381937421357739,0.0300860754304903,mortality_rate
0.4718943476973877,0.03281517528489737,mortality_rate
0.4892583302454138,0.011374784174226995,mortality_rate
0.4767626862900858,0.018298468316172108,mortality_rate
0.45575095406308985,0.018475754593001437,mortality_rate
0.5133532270657933,0.012946335935440539,mortality_rate
0.5797716017091222,0.032552058281584126,mortality_rate
0.6544313978235596,0.0573534654448947,mortality_rate
0.5067859503626687,0.047207553916020266,mortality_rate
0.5637453641314729,0.02651365809292568,mortality_rate
